OUType,OrgUnit05
Clinic,Soshanguve Block TT Clinic
Clinic,Soshanguve Block X Clinic
Clinic,Soshanguve 2 Clinic
Clinic,Sokhulumi Clinic
Clinic,Soshanguve Block JJ Clinic
Community Health Centre,Stanza Bopape CHC
Clinic,Stanza Bopape II Clinic
Community Health Centre,Soshanguve CHC
Special Clinic,St John the Baptist NGO Clinic
Clinic,Rooihuiskraal Clinic
Clinic,Rosslyn Clinic
Clinic,Refentse Clinic (Odi)
Clinic,Refilwe Clinic
Clinic,Rethabiseng Clinic
Clinic,Silverton Clinic
Clinic,Skinner Street Clinic
Clinic,Saulsville Clinic
Clinic,Sedilega Clinic
Community Health Centre,Temba CHC
Clinic,Tlamelong Clinic
National Central Hospital,Steve Biko Academic Hospital
Clinic,Suurman Clinic
Clinic,Zithobeni Clinic
Clinic,Ubuntu Clinic
Clinic,Winterveldt Clinic
Clinic,Laudium Clinic
Clinic,Lotus Gardens Clinic
Clinic,KT Motubatse Clinic
Community Health Centre,Kgabo CHC
Community Health Centre,Laudium CHC
Clinic,Mamelodi West Clinic
Clinic,Mandisa Shiceka Clinic
Clinic,Lyttelton Clinic
Provincial Tertiary Hospital,Kalafong Hospital
Clinic,Kameeldrift Clinic
Clinic,Jack Hindon Clinic
Clinic,Jubilee Gateway Clinic
Clinic,Kekana Gardens Clinic
Clinic,Kekanastad Clinic
Clinic,Kanana Clinic
Clinic,Karenpark Clinic
Clinic,Phomolong Clinic
Clinic,Phedisong 6 Clinic
Satellite Clinic,Pierre Van Ryneveld Satellite Clinic
Clinic,Phedisong 1 Clinic
Community Health Centre,Phedisong 4 CHC
Clinic,Ramotse Clinic
Clinic,Rayton Clinic
District Hospital,Pretoria West Hospital
Clinic,Pretorius Park Clinic
Clinic,Nellmapius Clinic
Clinic,New Eersterus Clinic
Clinic,Maria Rantho Clinic
Special Clinic,Mercy Winterveldt NGO Clinic
Clinic,Phahameng Clinic
Clinic,Onverwacht Clinic
District Hospital,Odi Hospital
Clinic,Olievenhoutbosch Ext 13 Clinic
Clinic,Adelaide Tambo Clinic
Clinic,Boikhutsong Clinic
Clinic,Bophelong (Region C) Clinic
Clinic,Atteridgeville Clinic
Clinic,Boekenhout Clinic
Clinic,Eldoraigne Clinic
Clinic,FF Ribeiro Clinic
Community Health Centre,Eersterust CHC
Clinic,Ekangala Clinic
Clinic,Hercules Clinic
Clinic,Gazankulu Clinic
Clinic,Holani Clinic
Clinic,Folang Clinic
Clinic,Garankuwa View Clinic
Clinic,Daspoort Poli Clinic
Community Health Centre,Dark City CHC
Clinic,De Wagensdrift Clinic
Clinic,Danville Clinic
Clinic,Bronkhorstspruit Clinic
National Central Hospital,Dr George Mukhari Hospital
Clinic,East Lynne Clinic
Clinic,Dilopye Clinic
Clinic,Doornpoort Clinic
Regional Hospital,Mamelodi Hospital
District Hospital,Tshwane District Hospital
District Hospital,Jubilee Hospital
Placeholder,Cullinan Rehabilitation Placeholder
Correctional Centre,Pretoria Central Correctional Centre
Private Hospital,Montana Private Hospital
Pharmacy,Lyttelton Pharmacy
Private Clinic,Thandanani Clinic
Private Hospital,Pretoria Gynaecological Hospital
Private Clinic,Sunshine Clinic
General Practitioner,Dr VM Mzamane General Practitioner
Private Hospital,Eugene Marais Hospital
General Practitioner,Dr GZ Nkomo General Practitioner
General Practitioner,Dr SA Bader General Practitioner
General Practitioner,Dr TW Ravhuhali General Practitioner
Pharmacy,Lizelle Prinsloo Pharmacy
Private Hospital,Femina Clinic Hospital
Pharmacy,Irene Pharmacy
General Practitioner,Dr EM Zungu General Practitioner
Correctional Centre,Zonderwater Correctional Centre
Nurse Practitioner,Akasia Stork's Nest Nurse Practitioner
Pharmacy,Atterbury Pharmacy
Private Clinic,Bambinos Well Baby Clinic
Placeholder,Odi Placeholder
Placeholder,Pretoria West Placeholder
Correctional Centre,Baviaanspoort Correctional Centre
Correctional Centre,Atteridgeville Correctional Centre
Placeholder,Kalafong Placeholder
Placeholder,Jubilee Placeholder
Private Hospital,Louis Pasteur Private Hospital
Private Clinic,Pretoria North Medicross Clinic
Pharmacy,Rynepark Pharmacy
General Practitioner,Dr YME Ismail General Practitioner
General Practitioner,Dr Annalize van Niekerk General Practitioner
General Practitioner,Dr BH Matlala General Practitioner
Pharmacy,Pharma Valu Pharmacy
Pharmacy,La Montagne Pharmacy
General Practitioner,Dr NT Machebe General Practitioner (Tshwane)
Home Based Care,Pfananani Home Based Care
Pharmacy,Pharma Valu Esselen Pharmacy
Special Clinic,Tshwane University of Technology Clinic (Soshanguve)
General Practitioner,Drs AH Coetzee and de Maar General Practitioner
General Practitioner,Dr RS Kwinda General Practitioner
Non-medical Site,Tshwane 3 Non-medical Site
Specialised Psychiatric Hospital,Weskoppies Hospital
Non-medical Site,FPD Mobile 2
Non-medical Site,FPD Mobile 5
Non-medical Site,FPD Mobile 1
Non-medical Site,FPD Mobile 7
Non-medical Site,FPD Mobile 6
Non-medical Site,Tshwane 6 Non-Medical Site
Non-medical Site,Tshwane 5 Non-Medical Site
Non-medical Site,FPD Mobile 4
Non-medical Site,Tshwane 7 Non-Medical Site
Non-medical Site,FPD Mobile Unit
Non-medical Site,Tshwane 4 Non-Medical Site
Non-medical Site,Tshwane 1 Non-Medical Site
Non-medical Site,Tshwane 2 Non-Medical Site
Specialised Hospital,Tshwane Rehabilitation Hospital
Non-medical Site,Tshwane 3 Non-Medical Site 2
Special Clinic,The DTI Clinic (Pretoria)
Specialised Hospital,Cullinan Rehabilitation Hospital
